location,bhk,total_sqft,bath,price_lakh,house_type,building_status,city,price_per_sqft
RR Nagar,1 BHK,648.0,1.0,34.0,Apartment,,Bengaluru,
Harlur,2 BHK,1197.0,2.0,78.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,3 BHK,1500.0,3.0,51.04,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,51.15,Apartment,,Bengaluru,
Kumaraswami Layout,3 Bedroom,2400.0,2.0,125.0,Apartment,,Bengaluru,
Kundalahalli,3 BHK,1397.0,3.0,105.0,Apartment,,Bengaluru,
Uttarahalli,2 BHK,1175.0,2.0,47.0,Apartment,,Bengaluru,
Basaveshwara Nagar,2 BHK,900.0,2.0,60.0,Apartment,,Bengaluru,
Rachenahalli,3 BHK,2710.0,3.0,170.0,Apartment,,Bengaluru,
Tala Cauvery Layout,3 BHK,1720.0,2.0,126.0,Apartment,,Bengaluru,
Cambridge Layout,3 BHK,1756.0,3.0,307.0,Apartment,,Bengaluru,
Yelahanka,1 BHK,602.0,1.0,38.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1770.0,3.0,180.0,Apartment,,Bengaluru,
Kothannur,6 Bedroom,930.0,6.0,150.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,Apartment,,Bengaluru,
Rachenahalli,2 BHK,1200.0,2.0,46.5,Apartment,,Bengaluru,
Hagadur,2 BHK,1100.0,2.0,45.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1194.0,2.0,46.0,Apartment,,Bengaluru,
Marsur,3 BHK,720.0,2.0,32.0,Apartment,,Bengaluru,
Kasavanhalli,3 BHK,1476.0,3.0,105.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,1056.0,2.0,65.0,Apartment,,Bengaluru,
Singapura Village,2 BHK,825.0,2.0,35.0,Apartment,,Bengaluru,
EPIP Zone,3 BHK,1860.0,3.0,130.0,Apartment,,Bengaluru,
Gunjur,2 BHK,1063.0,2.0,40.0,Apartment,,Bengaluru,
Yelahanka,1 BHK,697.0,1.0,35.0,Apartment,,Bengaluru,
Vijayanagar,1 Bedroom,2400.0,2.0,230.0,Apartment,,Bengaluru,
Anekal,2 Bedroom,1200.0,1.0,36.0,Apartment,,Bengaluru,
CV Raman Nagar,3 BHK,1835.0,3.0,160.0,Apartment,,Bengaluru,
Bannerghatta Road,3 BHK,13651700.0,3.0,79.465,Apartment,,Bengaluru,
BTM 2nd Stage,2 BHK,1147.0,2.0,75.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1360.0,2.0,47.59,Apartment,,Bengaluru,
Kothanur,4 Bedroom,3400.0,5.0,265.0,Apartment,,Bengaluru,
Hosakerehalli Layout,2 BHK,1080.0,2.0,64.0,Apartment,,Bengaluru,
Doddakallasandra,2 BHK,1010.0,2.0,40.4,Apartment,,Bengaluru,
Shanti Nagar,4 Bedroom,2600.0,4.0,523.0,Apartment,,Bengaluru,
Brookefield,2 BHK,1270.0,2.0,95.0,Apartment,,Bengaluru,
Basapura,2 BHK,1100.0,2.0,61.0,Apartment,,Bengaluru,
Bellandur,2 BHK,1410.0,3.0,92.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,1065.0,2.0,41.38,Apartment,,Bengaluru,
Anekal,2 Bedroom,1200.0,1.0,36.0,Apartment,,Bengaluru,
Hebbal,3 BHK,1315.0,3.0,65.0,Apartment,,Bengaluru,
Indira Nagar,3 BHK,1650.0,3.0,200.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1140.0,2.0,43.0,Apartment,,Bengaluru,
Kaggadasapura,2 BHK,960.0,2.0,45.0,Apartment,,Bengaluru,
Hosapalya,2 BHK,800.0,1.0,29.0,Apartment,,Bengaluru,
Doctors Layout,2 BHK,1225.0,2.0,47.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1020.0,2.0,45.0,Apartment,,Bengaluru,
Magadi Road,2 BHK,750.0,2.0,27.0,Apartment,,Bengaluru,
2nd Block Koramangala,3 Bedroom,3000.0,3.0,550.0,Apartment,,Bengaluru,
 Mysore Highway,1 BHK,535.0,1.0,35.0,Apartment,,Bengaluru,
Varthur,2 BHK,1035.0,2.0,60.0,Apartment,,Bengaluru,
Bommasandra Industrial Area,2 BHK,1020.0,2.0,29.45,Apartment,,Bengaluru,
GM Palaya,3 BHK,1315.0,3.0,64.0,Apartment,,Bengaluru,
Basavangudi,3 BHK,1350.0,2.0,130.0,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1075.0,2.0,48.0,Apartment,,Bengaluru,
Kengeri Satellite Town,3 BHK,1450.0,2.0,50.0,Apartment,,Bengaluru,
Gottigere,1 Bedroom,1806.0,1.0,150.0,Apartment,,Bengaluru,
Marathahalli,2 BHK,1350.0,2.0,99.0,Apartment,,Bengaluru,
Binny Pete,3 Bedroom,1282.0,3.0,178.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1929.0,3.0,103.0,Apartment,,Bengaluru,
Varthur,2 BHK,1100.0,2.0,72.0,Apartment,,Bengaluru,
Kundalahalli,3 BHK,1800.0,3.0,110.0,Apartment,,Bengaluru,
Gubbalala,2 BHK,1223.0,2.0,42.81,Apartment,,Bengaluru,
Bharathi Nagar,3 BHK,1664.0,3.0,69.89,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1360.0,2.0,47.59,Apartment,,Bengaluru,
Kasavanhalli,2 BHK,1158.0,2.0,67.0,Apartment,,Bengaluru,
Hormavu,3 BHK,1420.0,3.0,58.0,Apartment,,Bengaluru,
Rajaji Nagar,2 BHK,1268.0,2.0,127.0,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1308.0,2.0,75.0,Apartment,,Bengaluru,
Basavangudi,3 BHK,1485.0,3.0,140.0,Apartment,,Bengaluru,
Volagerekallahalli,2 BHK,1067.0,2.0,33.99,Apartment,,Bengaluru,
Hulimavu,4 Bedroom,2000.0,4.0,100.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,2450.0,3.0,330.0,Apartment,,Bengaluru,
Glass Factory Layout,2 BHK,1152.0,2.0,42.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1525.0,2.0,62.82,Apartment,,Bengaluru,
Whitefield,2 BHK,935.0,2.0,32.72,Apartment,,Bengaluru,
Jagadish Nagar,3 BHK,1465.0,2.0,88.0,Apartment,,Bengaluru,
HBR Layout,2 BHK,1198.0,2.0,65.0,Apartment,,Bengaluru,
3rd Phase Iti Layout,2 BHK,1145.0,2.0,63.0,Apartment,,Bengaluru,
Attibele,2 Bedroom,1000.0,2.0,42.0,Apartment,,Bengaluru,
Anekal,1 BHK,400.0,1.0,11.5,Apartment,,Bengaluru,
 south,4 BHK,3420.0,3.0,410.0,Apartment,,Bengaluru,
Marathahalli,3 BHK,1310.0,3.0,63.22,Apartment,,Bengaluru,
Panathur,3 BHK,1861.0,3.0,92.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1265.0,2.0,65.0,Apartment,,Bengaluru,
Green Domain Layout,2 BHK,1280.0,2.0,75.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,3 BHK,1279.0,2.0,53.76,Apartment,,Bengaluru,
TC Palaya,3 Bedroom,1200.0,2.0,66.0,Apartment,,Bengaluru,
"Ananthapura, T C palaya Main Road",2 Bedroom,680.0,3.0,60.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1590.0,3.0,57.0,Apartment,,Bengaluru,
Hoodi,3 BHK,1837.0,3.0,142.0,Apartment,,Bengaluru,
Hegde Nagar,3 BHK,1703.0,3.0,130.0,Apartment,,Bengaluru,
Kudlu,3 BHK,1293.0,2.0,80.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,700.0,2.0,35.0,Apartment,,Bengaluru,
Doctors Layout,3 BHK,1450.0,3.0,75.0,Apartment,,Bengaluru,
5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1570.0,3.0,65.93,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1075.0,2.0,37.0,Apartment,,Bengaluru,
Varthur,2 BHK,1091.0,2.0,33.82,Apartment,,Bengaluru,
EPIP Zone,3 BHK,2210.0,3.0,165.0,Apartment,,Bengaluru,
Outer Ring Road East,3 BHK,1738.0,3.0,110.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,1640.0,3.0,262.0,Apartment,,Bengaluru,
Gottigere,2 BHK,1205.0,2.0,56.58,Apartment,,Bengaluru,
Kengeri,2 BHK,1009.0,2.0,30.27,Apartment,,Bengaluru,
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,Apartment,,Bengaluru,
Thigalarapalya,4 BHK,3362.0,5.0,249.0,Apartment,,Bengaluru,
Mysore Road,3 BHK,14101710.0,,83.3,Apartment,,Bengaluru,
Rajaji Nagar,4 Bedroom,1600.0,3.0,140.0,Apartment,,Bengaluru,
Sanjay nagar,2 BHK,960.0,2.0,55.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1330.0,2.0,46.55,Apartment,,Bengaluru,
Whitefield,2 BHK,1024.0,2.0,32.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,40.54,Apartment,,Bengaluru,
Mico Layout,1 BHK,800.0,1.0,29.5,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,2650.0,3.0,260.0,Apartment,,Bengaluru,
Jakkur,2 BHK,1080.0,2.0,60.0,Apartment,,Bengaluru,
Hebbal,2 BHK,1150.0,2.0,55.0,Apartment,,Bengaluru,
Dasanapura,3 BHK,1286.0,2.0,68.0,Apartment,,Bengaluru,
Whitefield,4 Bedroom,2990.0,3.0,198.0,Apartment,,Bengaluru,
JP Nagar,2 BHK,1150.0,2.0,90.0,Apartment,,Bengaluru,
Cooke Town,2 BHK,1310.0,2.0,111.0,Apartment,,Bengaluru,
Prithvi Layout,2 BHK,1352.0,2.0,72.0,Apartment,,Bengaluru,
Bommanahalli,2 BHK,1307.0,2.0,50.0,Apartment,,Bengaluru,
Channasandra,4 Bedroom,1500.0,4.0,89.45,Apartment,,Bengaluru,
Singena Agrahara,3 Bedroom,1500.0,3.0,90.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,10791183.0,2.0,55.975,Apartment,,Bengaluru,
Whitefield,3 Bedroom,1600.0,3.0,69.1,Apartment,,Bengaluru,
Hosur Road,4 BHK,28002870.0,4.0,241.0,Apartment,,Bengaluru,
Yelahanka,1 BHK,682.0,1.0,36.23,Apartment,,Bengaluru,
Whitefield,4 Bedroom,2500.0,4.0,420.0,Apartment,,Bengaluru,
Vittasandra,3 BHK,1650.0,3.0,85.5,Apartment,,Bengaluru,
Haralur Road,3 BHK,1850.0,3.0,120.0,Apartment,,Bengaluru,
Gubbalala,4 Bedroom,2000.0,4.0,85.0,Apartment,,Bengaluru,
Phase 1 Kammasandra,2 BHK,982.0,2.0,25.0,Apartment,,Bengaluru,
Nandi Durga Road,2 BHK,2015.0,4.0,325.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1702.0,3.0,115.0,Apartment,,Bengaluru,
Amruthahalli,2 BHK,1250.0,2.0,79.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1240.0,2.0,40.54,Apartment,,Bengaluru,
Sneha Colony,2 Bedroom,1050.0,2.0,110.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,1023.0,2.0,52.59,Apartment,,Bengaluru,
Dairy Circle,2 BHK,1541.0,2.0,181.0,Apartment,,Bengaluru,
Siddapura,2 BHK,1275.0,2.0,105.0,Apartment,,Bengaluru,
Jakkur,2 BHK,12301290.0,2.0,71.195,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1580.0,3.0,125.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,1343.0,2.0,75.0,Apartment,,Bengaluru,
Bommasandra,3 BHK,1365.0,3.0,52.81,Apartment,,Bengaluru,
Kundalahalli,2 BHK,1047.0,2.0,72.0,Apartment,,Bengaluru,
Shampura,2 BHK,1187.0,2.0,42.0,Apartment,,Bengaluru,
Banashankari Stage III,4 Bedroom,1050.0,3.0,147.0,Apartment,,Bengaluru,
Frazer Town,1 Bedroom,560.0,1.0,90.0,Apartment,,Bengaluru,
Banashankari Stage III,3 Bedroom,1000.0,2.0,120.0,Apartment,,Bengaluru,
Nagadevanahalli,5 Bedroom,1200.0,5.0,260.0,Apartment,,Bengaluru,
Choodasandra,2 BHK,1075.0,2.0,45.0,Apartment,,Bengaluru,
Dairy Circle,3 BHK,2048.0,3.0,206.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,57.0,Apartment,,Bengaluru,
Doddakammanahalli,3 BHK,1119.0,2.0,48.5,Apartment,,Bengaluru,
Poornapragna Housing Society Layout,3 BHK,1355.0,2.0,58.25,Apartment,,Bengaluru,
Hennur Road,3 BHK,1445.0,2.0,86.69,Apartment,,Bengaluru,
Electronics City Phase 1,6 Bedroom,1314.0,5.0,120.0,Apartment,,Bengaluru,
Malleshwaram,4 BHK,6500.0,4.0,1400.0,Apartment,,Bengaluru,
Yeshwanthpur,2 BHK,1165.0,2.0,64.08,Apartment,,Bengaluru,
Hormavu,2 BHK,9431220.0,2.0,38.665,Apartment,,Bengaluru,
Kothanur,3 BHK,1787.0,3.0,107.0,Apartment,,Bengaluru,
Mico Layout,4 Bedroom,3600.0,4.0,330.0,Apartment,,Bengaluru,
Battarahalli,6 Bedroom,1200.0,6.0,100.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1020.0,2.0,29.45,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1797.0,4.0,95.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1205.0,2.0,58.0,Apartment,,Bengaluru,
Chennammana Kere,2 BHK,1095.0,2.0,55.85,Apartment,,Bengaluru,
Yelahanka,3 BHK,1560.0,2.0,98.0,Apartment,,Bengaluru,
5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,Apartment,,Bengaluru,
Rajaji Nagar,2 Bedroom,1200.0,1.0,200.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1450.0,3.0,65.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1496.0,2.0,718.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1935.0,4.0,122.0,Apartment,,Bengaluru,
Hosa Road,2 BHK,1016.0,2.0,45.0,Apartment,,Bengaluru,
Jakkur,3 BHK,1816.0,3.0,119.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,Apartment,,Bengaluru,
Hoodi,4 BHK,20412090.0,4.0,91.915,Apartment,,Bengaluru,
Kengeri,2 BHK,1220.0,2.0,63.0,Apartment,,Bengaluru,
Hosur Road,4 Bedroom,3000.0,4.0,160.0,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,980.0,2.0,86.0,Apartment,,Bengaluru,
Nagarbhavi,4 Bedroom,1200.0,4.0,210.0,Apartment,,Bengaluru,
Hormavu,2 BHK,1250.0,2.0,60.0,Apartment,,Bengaluru,
Jakkur,2 BHK,1424.0,2.0,80.0,Apartment,,Bengaluru,
Hennur Road,2 BHK,1297.0,2.0,49.9,Apartment,,Bengaluru,
Karuna Nagar,3 Bedroom,1300.0,3.0,170.0,Apartment,,Bengaluru,
Harlur,2 BHK,1290.0,2.0,89.9,Apartment,,Bengaluru,
Koramangala,3 BHK,1720.0,2.0,130.0,Apartment,,Bengaluru,
Judicial Layout,7 BHK,1200.0,7.0,199.0,Apartment,,Bengaluru,
Deepanjali Nagar,3 Bedroom,2320.0,2.0,160.0,Apartment,,Bengaluru,
Nallurhalli,3 BHK,1237.0,3.0,78.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1720.0,3.0,98.97,Apartment,,Bengaluru,
Chikkalasandra,2 BHK,1224.0,2.0,45.0,Apartment,,Bengaluru,
Yelahanka,3 BHK,1780.0,3.0,107.0,Apartment,,Bengaluru,
Seegehalli,4 Bedroom,4700.0,5.0,800.0,Apartment,,Bengaluru,
Electronics City Phase 1,3 BHK,1800.0,3.0,93.0,Apartment,,Bengaluru,
Budigere,2 BHK,1139.0,2.0,56.5,Apartment,,Bengaluru,
Pulkeshi Nagar,1 Bedroom,588.0,1.0,88.2,Apartment,,Bengaluru,
2nd Phase Judicial Layout,2 BHK,700.0,2.0,35.0,Apartment,,Bengaluru,
Kengeri,1 Bedroom,1150.0,1.0,52.0,Apartment,,Bengaluru,
Channasandra,3 BHK,1330.0,2.0,51.83,Apartment,,Bengaluru,
Old Airport Road,4 BHK,2732.0,4.0,194.0,Apartment,,Bengaluru,
Kodigehaali,2 BHK,965.0,2.0,38.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1600.0,3.0,95.0,Apartment,,Bengaluru,
KUDLU MAIN ROAD,2 BHK,1464.0,2.0,56.0,Apartment,,Bengaluru,
Frazer Town,3 BHK,3100.0,3.0,400.0,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1075.0,2.0,45.0,Apartment,,Bengaluru,
Kengeri Hobli,2 Bedroom,1840.0,1.0,95.0,Apartment,,Bengaluru,
Gubbalala,3 BHK,1223.0,3.0,39.14,Apartment,,Bengaluru,
Ramamurthy Nagar,2 BHK,1170.0,2.0,44.0,Apartment,,Bengaluru,
Old Madras Road,4 BHK,3630.0,6.0,207.0,Apartment,,Bengaluru,
Bellandur,2 BHK,950.0,2.0,35.0,Apartment,,Bengaluru,
Frazer Town,3 BHK,5400.0,3.0,400.0,Apartment,,Bengaluru,
Electronic City,2 BHK,865.0,2.0,40.0,Apartment,,Bengaluru,
Kirloskar Layout,4 Bedroom,2400.0,4.0,89.0,Apartment,,Bengaluru,
Lakshminarayana Pura,2 BHK,1169.0,2.0,75.0,Apartment,,Bengaluru,
Hormavu,2 BHK,1206.0,2.0,40.0,Apartment,,Bengaluru,
SARJAPUR BAGALUR ROAD,4 Bedroom,10961.0,4.0,80.0,Apartment,,Bengaluru,
Lingadheeranahalli,3 BHK,1683.0,3.0,110.0,Apartment,,Bengaluru,
Mico Layout,3 BHK,1250.0,2.0,44.0,Apartment,,Bengaluru,
Green Glen Layout,4 BHK,3150.0,4.0,218.0,Apartment,,Bengaluru,
B Y Raveshwara Nagar,4 Bedroom,1200.0,2.0,140.0,Apartment,,Bengaluru,
Bhoganhalli,3 BHK,1234.6,3.0,104.0,Apartment,,Bengaluru,
Vijayanagar,1 BHK,492.0,1.0,40.0,Apartment,,Bengaluru,
Banashankari,2 BHK,600.0,1.0,27.0,Apartment,,Bengaluru,
Kalena Agrahara,3 BHK,1902.0,3.0,89.0,Apartment,,Bengaluru,
Kothnur Narayanapura,6 Bedroom,1200.0,6.0,125.0,Apartment,,Bengaluru,
Govindpura,3 BHK,1639.0,3.0,77.89,Apartment,,Bengaluru,
Kasavanhalli,2 BHK,1214.0,2.0,67.0,Apartment,,Bengaluru,
Kadabagere,2 BHK,565.0,2.0,15.0,Apartment,,Bengaluru,
Basaveshwara Nagar,5 Bedroom,2520.0,4.0,378.0,Apartment,,Bengaluru,
Harlur,2 BHK,1386.0,2.0,85.0,Apartment,,Bengaluru,
Bannerghatta Road,3 BHK,1535.0,3.0,60.0,Apartment,,Bengaluru,
Marathahalli,3 BHK,1720.0,3.0,175.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,Apartment,,Bengaluru,
Bannerghatta Road,3 BHK,1655.0,3.0,90.0,Apartment,,Bengaluru,
Vidyaranyapura,2 BHK,1200.0,2.0,52.0,Apartment,,Bengaluru,
Horamavu Banaswadi,3 BHK,1610.0,3.0,68.0,Apartment,,Bengaluru,
Ramamurthy Nagar,4 Bedroom,2200.0,4.0,130.0,Apartment,,Bengaluru,
TC Palaya,3 Bedroom,1200.0,2.0,66.0,Apartment,,Bengaluru,
Mahalakshmi Layout,2 BHK,1105.0,2.0,80.0,Apartment,,Bengaluru,
Banjara Layout,2 Bedroom,753.0,3.0,59.5,Apartment,,Bengaluru,
Whitefield,3 BHK,1655.0,3.0,108.0,Apartment,,Bengaluru,
KR Garden,3 Bedroom,1700.0,3.0,250.0,Apartment,,Bengaluru,
Vishwapriya Layout,2 BHK,770.0,2.0,30.0,Apartment,,Bengaluru,
Balagere,2 BHK,1210.0,2.0,69.0,Apartment,,Bengaluru,
Hormavu,2 BHK,965.0,2.0,37.15,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,700.0,1.0,41.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1740.0,3.0,95.0,Apartment,,Bengaluru,
Electronic City Phase II,3 BHK,1310.0,2.0,37.84,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1763.25,3.0,98.0,Apartment,,Bengaluru,
Basaveshwara Nagar,3 BHK,1900.0,3.0,150.0,Apartment,,Bengaluru,
Kammanahalli,6 Bedroom,1000.0,6.0,150.0,Apartment,,Bengaluru,
JP Nagar,3 BHK,1450.0,2.0,55.0,Apartment,,Bengaluru,
CV Raman Nagar,3 BHK,1836.0,3.0,148.0,Apartment,,Bengaluru,
Hoodi Layout,2 BHK,1160.0,2.0,75.0,Apartment,,Bengaluru,
Hennur Road,2 BHK,1153.0,2.0,43.0,Apartment,,Bengaluru,
Marathahalli,2 BHK,1285.0,2.0,55.0,Apartment,,Bengaluru,
Rest House Road,3 BHK,2500.0,3.0,400.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1194.0,2.0,47.0,Apartment,,Bengaluru,
Kadubeesanahalli,2 BHK,1257.0,2.0,105.0,Apartment,,Bengaluru,
Whitefield,3 Bedroom,1200.0,3.0,56.72,Apartment,,Bengaluru,
Hormavu,1 BHK,527639.0,1.0,28.275,Apartment,,Bengaluru,
Tumkur Road,3 BHK,1240.0,2.0,79.0,Apartment,,Bengaluru,
Basapura,3 BHK,1294.0,2.0,52.0,Apartment,,Bengaluru,
Nagondanahalli,2 BHK,1095.0,2.0,45.0,Apartment,,Bengaluru,
HSR Layout,2 BHK,1145.0,2.0,46.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1826.0,3.0,130.0,Apartment,,Bengaluru,
Electronics City Phase 1,2 BHK,1314.0,2.0,60.0,Apartment,,Bengaluru,
Koramangala,3 BHK,1900.0,2.0,120.0,Apartment,,Bengaluru,
KEB Colony,2 BHK,1040.0,2.0,36.84,Apartment,,Bengaluru,
Jakkur,2 BHK,1290.0,2.0,85.0,Apartment,,Bengaluru,
Kodigehaali,4 Bedroom,1200.0,4.0,130.0,Apartment,,Bengaluru,
Gollahalli,3 BHK,1325.0,2.0,47.0,Apartment,,Bengaluru,
Hebbal,3 BHK,2600.0,3.0,195.0,Apartment,,Bengaluru,
Hormavu,2 BHK,1129.0,2.0,44.0,Apartment,,Bengaluru,
Balagere,1 BHK,645936.0,1.0,42.295,Apartment,,Bengaluru,
Hebbal,2 BHK,1075.0,2.0,52.0,Apartment,,Bengaluru,
Green View Layout,2 BHK,1108.0,2.0,48.0,Apartment,,Bengaluru,
Ananth Nagar,2 BHK,810.0,2.0,25.5,Apartment,,Bengaluru,
Gopalkrishna Nagar,2 BHK,1155.0,2.0,65.0,Apartment,,Bengaluru,
Rajaji Nagar,6 BHK,3900.0,6.0,260.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,2367.0,3.0,375.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1550.0,2.0,98.0,Apartment,,Bengaluru,
Babusapalaya,2 BHK,1100.0,2.0,38.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1452.0,3.0,54.2,Apartment,,Bengaluru,
Kothanur,2 BHK,1141.0,2.0,54.0,Apartment,,Bengaluru,
HOSUR RMAIN ROAD,3 BHK,1464.0,3.0,56.0,Apartment,,Bengaluru,
Hanumanth Nagar,3 BHK,1500.0,3.0,67.49,Apartment,,Bengaluru,
Anekal,1 BHK,456.0,1.0,15.0,Apartment,,Bengaluru,
Ramamurthy Nagar,4 Bedroom,1200.0,4.0,125.0,Apartment,,Bengaluru,
Thigalarapalya,4 BHK,3122.0,6.0,245.0,Apartment,,Bengaluru,
Horamavu Agara,2 BHK,760.0,2.0,37.49,Apartment,,Bengaluru,
Koramangala,6 Bedroom,2400.0,6.0,480.0,Apartment,,Bengaluru,
Electronic City,2 BHK,800.0,2.0,32.0,Apartment,,Bengaluru,
Choodasandra,2 BHK,1180.0,2.0,71.22,Apartment,,Bengaluru,
Kaggadasapura,2 BHK,775.0,2.0,29.5,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1145.0,2.0,49.5,Apartment,,Bengaluru,
Konappana Agrahara,2 BHK,1060.0,2.0,42.5,Apartment,,Bengaluru,
Cooke Town,4 BHK,3900.0,5.0,415.0,Apartment,,Bengaluru,
Yelahanka New Town,3 BHK,1420.0,2.0,75.0,Apartment,,Bengaluru,
Bhoganhalli,4 BHK,2439.0,4.0,190.0,Apartment,,Bengaluru,
1st Phase JP Nagar,4 Bedroom,1200.0,4.0,300.0,Apartment,,Bengaluru,
Hoodi,2 BHK,1111.0,2.0,49.43,Apartment,,Bengaluru,
Jeevan bima nagar,2 Bedroom,984.0,2.0,125.0,Apartment,,Bengaluru,
Begur Road,2 BHK,1200.0,2.0,42.0,Apartment,,Bengaluru,
Bannerghatta Road,2 BHK,1247.0,2.0,47.39,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,Apartment,,Bengaluru,
Devanahalli,3 BHK,1550.0,3.0,85.0,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,Apartment,,Bengaluru,
Balagere,2 BHK,1012.0,2.0,65.0,Apartment,,Bengaluru,
Electronic City,2 BHK,970.0,2.0,34.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,933.0,2.0,55.0,Apartment,,Bengaluru,
Sarjapur,3 Bedroom,1200.0,3.0,76.13,Apartment,,Bengaluru,
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,69.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1463.0,2.0,61.45,Apartment,,Bengaluru,
Jakkur Plantation,3 BHK,1719.0,3.0,110.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1350.0,2.0,88.0,Apartment,,Bengaluru,
Kaggadasapura,3 BHK,1250.0,2.0,47.0,Apartment,,Bengaluru,
1st Block Jayanagar,8 Bedroom,1700.0,3.0,50.0,Apartment,,Bengaluru,
Mahalakshmi Layout,9 Bedroom,4320.0,7.0,821.0,Apartment,,Bengaluru,
Lakshminarayana Pura,2 BHK,1200.0,2.0,75.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1030.0,2.0,44.0,Apartment,,Bengaluru,
Rajasree Layout,3 BHK,1420.0,3.0,70.0,Apartment,,Bengaluru,
Ramagondanahalli,5 Bedroom,9600.0,6.0,1800.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1703.0,3.0,126.0,Apartment,,Bengaluru,
Old Madras Road,2 BHK,1210.0,2.0,80.0,Apartment,,Bengaluru,
Horamavu Banaswadi,2 BHK,1210.0,2.0,50.0,Apartment,,Bengaluru,
Veer Sandra,4 Bedroom,3000.0,4.0,264.0,Apartment,,Bengaluru,
Chikkadunnasandra,3 BHK,1398.0,3.0,51.0,Apartment,,Bengaluru,
Nagavarapalya,2 BHK,1335.0,2.0,110.0,Apartment,,Bengaluru,
Hennur,2 BHK,1255.0,2.0,52.32,Apartment,,Bengaluru,
Mysore Road,4 Bedroom,540.0,4.0,85.0,Apartment,,Bengaluru,
